objname,RAJ2000,DECJ2000,z_phot_DE,z_spec_DE,z_spec_SRC,r_mag_DE,g_mag_SRC,catalogue,catalogue_objname,catalogue_objid,duplicated,duplicated_objname,,,link to AGEL Measured Redshifts,link to Spectral Observations Tally,z_spec_SRC_Spectral_Observations_Tally,link to SDSS Spectra,z_spec from SDSS (deflector),Photometry Observations Tally,Proposal_ID (from Photometry Observations Tally),AGEL Measured Redshifts,Start date,End date,2d/1d spectra,Last Modified By,Last Modified
AGEL035418-160952A,58.576136,-16.1645,0.63,,,20.4,22.54,Jacobs+2019_DES,DESJ0354-1609,386476783,Jacobs+2019_DECaLS,DCLS0354-1609,,,AGEL035418-160952A,AGEL035418-160952A,TBD,,,AGEL035418-160952A,M/2018B/09,,,,Screenshot from 2022-05-10 19-32-49.png (https://dl.airtable.com/.attachments/1e004ca4e5a216250bfe04c6d41efabf/d5a347a0/Screenshotfrom2022-05-1019-32-49.png),Tania Barone,4/2/2022 3:18pm
AGEL162632+490930A,246.6316,49.1584,,0.278,,19.45,,Huang+2021,DESI-246.6316+49.1584,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:27pm
AGEL234537+140120A,356.4023,14.0221,,0.225,,18.31,,Huang+2021,DESI-356.4023+14.0221,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:39pm
AGEL151703+100325A,229.2637,10.0569,,0.564,,20.54,,Huang+2021,DESI-229.2637+10.0569,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:25pm
AGEL235932-021536A,359.8831,-2.2601,,0.646,,18.99,,Huang+2021,DESI-359.8831-02.2601,0,,,,,,,,AGEL235932-021536A,0.5667366,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL104728+235724A,161.8653,23.9568,,0.545,,19.4,,Huang+2021,DESI-161.8653+23.9568,0,,,,,,,,AGEL104728+235724A,0.5547499,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL114808+290513A,177.0319,29.0869,,0.622,,20.05,,Huang+2021,DESI-177.0319+29.0869,0,,,,,,,,AGEL114808+290513A,0.7031373,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL175856+290427A,269.7333,29.0742,,0.218,,20.73,,Huang+2021,DESI-269.7333+29.0742,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:28pm
AGEL084738+133051A,131.9068,13.5143,,0.471,,18.85,,Huang+2021,DESI-131.9068+13.5143,0,,,,,,,,AGEL084738+133051A,0.4953243,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL021409-125309A,33.5356,-12.8859,,0.555,,21.03,,Huang+2021,DESI-033.5356-12.8859,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:41pm
AGEL080136+544841A,120.3991,54.8115,,0.529,,19.14,,Huang+2021,DESI-120.3991+54.8115,0,,,,,,,,AGEL080136+544841A,0.5843928,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL024703+035560A,41.7608,3.9333,,0.26,,16.99,,Huang+2021,DESI-041.7608+03.9333,0,,,,,,,,AGEL024703+035560A,0.2619551,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL232322+104612A,350.8416,10.7701,,0.517,,19.61,,Huang+2021,DESI-350.8416+10.7701,0,,,,,,,,AGEL232322+104612A,0.5239179,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL011759-052718A,19.494766,-5.454924,0.57,,,20.39,22.24,Jacobs+2019_DES,DESJ0117-0527,306602282,"Jacobs+2019_DECaLS,Huang+2020","DCLS0117-0527,DESI-019.4949-05.4550",,,AGEL011759-052718A,AGEL011759-052718A,2.065,AGEL011759-052718A,0.5797104,,,,,,Screenshot from 2022-05-10 12-57-12.png (https://dl.airtable.com/.attachments/b5d769b3c95d77672085d62447514192/8312c7db/Screenshotfrom2022-05-1012-57-12.png),Tania Barone,25/1/2022 6:39pm
AGEL144955-065047A,222.4812,-6.8463,,0.311,,17.22,,Huang+2021,DESI-222.4812-06.8463,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:24pm
AGEL132655-032421A,201.729,-3.40583,,0.482,,21.01,,Canameras2020,PS1J1326-0324,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:20pm
AGEL075614+301406A,119.0587,30.235,,0.381,,19.39,,Huang+2021,DESI-119.0587+30.2350,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:07pm
AGEL110008+105814A,165.0321,10.9706,,0.619,,20.06,,Huang+2021,DESI-165.0321+10.9706,0,,,,,,,,AGEL110008+105814A,0.5371469,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL164831+634714A,252.1292,63.7872,,0.53,,20.16,,Huang+2021,DESI-252.1292+63.7872,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:28pm
AGEL022749-060914A,36.956,-6.1539,,0.432,,19.67,,Huang+2020,DESI-036.9560-06.1539,0,,,,,,,,AGEL022749-060914A,0.4323812,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL005950-053502A,14.9575,-5.5838,,0.509,,20.23,,Huang+2021,DESI-014.9575-05.5838,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:30pm
AGEL014235-164818A,25.6457,-16.80487,0.6,,,21.65,,Jacobs+2019_DES,DESJ0142-1648,250131070,Jacobs+2019_DECaLS,DCLS0142-1648,,,AGEL014235-164818A,AGEL014235-164818A,2.3085,,,,,,,,"Screenshot from 2022-05-10 13-04-30.png (https://dl.airtable.com/.attachments/68ececdc441821ec4ba33d6ecc48bc4d/e9935660/Screenshotfrom2022-05-1013-04-30.png),Screenshot from 2022-05-10 13-04-20.png (https://dl.airtable.com/.attachments/1b7b5f21dac837136ecd388f24d95398/5f688ba6/Screenshotfrom2022-05-1013-04-20.png)",Tania Barone,13/1/2022 5:29pm
AGEL230328+085538A,345.8679,8.9273,,0.556,,19.16,,Huang+2021,DESI-345.8679+08.9273,0,,,,,,,,AGEL230328+085538A,0.5878448,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL143941+003026A,219.9228,0.5073,,0.138,,17.67,,Huang+2020,DESI-219.9228+00.5073,0,,,,,,,,AGEL143941+003026A,0.1376884,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL125146+014256A,192.9428,1.7155,,0.673,,20.16,,Huang+2021,DESI-192.9428+01.7155,0,,,,,,AGEL125146+014256A,TBD,,,AGEL125146+014256A,HUANG_15867_HST,,,,,Tania Barone,4/2/2022 3:18pm
AGEL101910+583449A,154.792,58.5803,,0.202,,18.62,,Canameras2020,PS1J1019+5834,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:12pm
AGEL235448+050241A,358.6999,5.0447,,0.469,,20.14,,Huang+2021,DESI-358.6999+05.0447,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:40pm
AGEL022714+293447A,36.8067,29.5796,,0.451,,19.18,,Huang+2021,DESI-036.8067+29.5796,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:44pm
AGEL234955-032812A,357.479,-3.47,,0.345,,20.19,,Canameras2020,PS1J2349-0328,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:40pm
AGEL151137+053719A,227.9059,5.622,,0.613,,21.6,,Huang+2021,DESI-227.9059+05.6220,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:25pm
AGEL082412+044737A,126.05,4.7936,,0.39,,20.53,,Huang+2021,DESI-126.0500+04.7936,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:07pm
AGEL021220+303311A,33.0826,30.553,,0.548,,19.74,,Huang+2021,DESI-033.0826+30.5530,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:41pm
AGEL001652-054906A,4.2156,-5.8182,,0.329,,20.41,,Huang+2021,DESI-004.2156-05.8182,0,,,,,,,,AGEL001652-054906A,0.4991019,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL085429+100815A,133.6197,10.1374,,0.298,,17.44,,Huang+2020,DESI-133.6197+10.1374,0,,,,,,,,AGEL085429+100815A,0.2978243,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL090115+095624A,135.3125,9.9401,0.81,,,20.96,,Huang+2020,DESI-135.3125+09.9401,0,,,,,,AGEL090115+095624A,2.635,,,AGEL090115+095624A,GLAZEBROOK_16773_HST,,,,,Nandini Sahu,14/10/2022 1:06pm
AGEL100333-025657A,150.886,-2.9493,,0.682,,18.95,,Huang+2020,DESI-150.8860-02.9493,0,,,,,,,,AGEL100333-025657A,0.6815649,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL130550+225532A,196.4575,22.9256,,0.268,,18.59,,Huang+2021,DESI-196.4575+22.9256,0,,,,,,,,AGEL130550+225532A,0.3939248,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL210723-005931A,316.8445,-0.992,,0.514,,19.62,,Huang+2021,DESI-316.8445-00.9920,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:30pm
AGEL205616-423857A,314.0659,-42.64923,0.71,,,22.95,22.51,Jacobs+2019_DES,DESJ2056-4238,186351000,,,,,,AGEL205616-423857A,n/a,,,AGEL205616-423857A,GLAZEBROOK_16773_HST,,,,,Tania Barone,18/5/2022 11:29am
AGEL000729-443446A,1.87201,-44.57949,0.52,,,19.6,21.61,Jacobs+2019_DES,DESJ0007-4434,142779522,Diehl+2017,J0007-4434,,,,AGEL000729-443446A,1.0094,,,AGEL000729-443446A,GLAZEBROOK_16773_HST,,,,,Tania Barone,5/8/2022 1:02pm
AGEL060357-355806A,90.98543,-35.96826,0.51,,,20.92,,Jacobs+2019_DES,DESJ0603-3558,455978070,Huang+2021,DESI-090.9854-35.9683,,,,AGEL060357-355806A,1.431,,,AGEL060357-355806A,GLAZEBROOK_16773_HST,,,,,Nandini Sahu,23/9/2022 3:27pm
AGEL024909-282118A,42.286,-28.3551,,0.593,,21.2,,Huang+2021,DESI-042.2860-28.3551,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:48pm
AGEL110857+375137A,167.2393,37.8604,,0.205,,17.38,,Huang+2021,DESI-167.2393+37.8604,0,,,,,,,,AGEL110857+375137A,0.2541225,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL001145+010103A,2.9359,1.0175,,0.74,,20.44,,Huang+2021,DESI-002.9359+01.0175,0,,,,,,,,AGEL001145+010103A,0.7936102,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL122907+590829A,187.2782,59.1413,,0.58,,20.25,,Huang+2021,DESI-187.2782+59.1413,0,,,,,,,,AGEL122907+590829A,0.5904276,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL004325-203717A,10.8534,-20.6214,,0.338,,17.4,,Huang+2021,DESI-010.8534-20.6214,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:28pm
AGEL090948+072108A,137.45,7.3521,,0.646,,19.85,,Huang+2021,DESI-137.4500+07.3521,0,,,,,,,,AGEL090948+072108A,0.6586051,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL150745+052256A,226.9381065,5.38230017,,,,19.49,21.2,Jacobs+2019_DECaLS,DCLS1507+0522,22156335,Huang+2021,DESI-226.9381+05.3823,,,AGEL150745+052256A,AGEL150745+052256A,2.164,AGEL150745+052256A,0.5945449,AGEL150745+052256A,GLAZEBROOK_16773_HST,,,,,Tania Barone,23/2/2023 12:07pm
AGEL150745+052256B,226.9381065,5.38230017,,,,19.49,,Jacobs+2019_DECaLS,DCLS1507+0522,22156335,Huang+2021,DESI-226.9381+05.3823,,,,AGEL150745+052256B,"2.6
",AGEL150745+052256A,0.5945449,AGEL150745+052256B,GLAZEBROOK_16773_HST,,,,,Tania Barone,23/2/2023 12:13pm
AGEL171858+111549A,259.7428,11.2635,,0.58,,18.8,,Huang+2021,DESI-259.7428+11.2635,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:28pm
AGEL082344+043745A,125.935,4.6293,,0.657,,21.36,,Huang+2021,DESI-125.9350+04.6293,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:07pm
AGEL010146+031424A,15.4415,3.2399,,0.552,,19.42,,Huang+2020,DESI-015.4415+03.2399,0,,,,,,,,AGEL010146+031424A,0.5517846,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL080325+374540A,120.8544,37.761,,0.705,,20.66,,Huang+2021,DESI-120.8544+37.7610,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:07pm
AGEL084633-015417A,131.6361862,-1.90466278,,,,20.71,22.23,Jacobs+2019_DECaLS,DCLS0846-0154,8613165,Huang+2021,DESI-131.6362-01.9047,,,,AGEL084633-015417A,2.632,,,,,,,,,Nandini Sahu,20/1/2023 11:29am
AGEL122422+021211A,186.0916,2.203,,0.348,,18.07,,Huang+2021,DESI-186.0916+02.2030,0,,,,,,,,AGEL122422+021211A,0.4508523,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL122155+140615A,185.479,14.1042,,0.42,,20.43,,Canameras2020,PS1J1221+1406,0,,,,,,,,AGEL122155+140615A,0.4198656,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL031918+020536A,49.8264,2.0934,,0.319,,20.35,,Huang+2021,DESI-049.8264+02.0934,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:51pm
AGEL022848-040658A,37.2011,-4.1161,,0.141,,19.28,,Huang+2020,DESI-037.2011-04.1161,0,,,,,,,,AGEL022848-040658A,0.1406264,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL111106+264647A,167.7733,26.7798,,0.277,,18.7,,Huang+2021,DESI-167.7733+26.7798,0,,,,,,,,AGEL111106+264647A,0.3001153,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL003526-201545A,8.859,-20.2624,,0.302,,20.8,,Huang+2021,DESI-008.8590-20.2624,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:28pm
AGEL005958+131955A,14.9899,13.332,,0.516,,18.09,,Huang+2021,DESI-014.9899+13.3320,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:30pm
AGEL010839-082318A,17.1638,-8.3884,,0.575,,20.28,,Huang+2021,DESI-017.1638-08.3884,0,,,,,,,,AGEL010839-082318A,0.5478236,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL021732+205708A,34.383,20.9523,,0.589,,19.96,,Huang+2021,DESI-034.3830+20.9523,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:42pm
AGEL065646+384444A,104.1909,38.7456,,0.455,,19.89,,Huang+2021,DESI-104.1909+38.7456,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:06pm
AGEL102209-002517A,155.537,-0.421389,,0.394,,20.09,,Canameras2020,PS1J1022-0025,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:12pm
AGEL032449-102053A,51.2051,-10.3481,,0.428,,19.27,,Huang+2021,DESI-051.2051-10.3481,0,Canameras2020,PS1J0324-1020,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:51pm
AGEL022644-034126A,36.6819,-3.6905,,0.328,,19.39,,Huang+2020,DESI-036.6819-03.6905,0,,,,,,,,AGEL022644-034126A,0.3283541,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL231236-032628A,348.1504,-3.441,,0.33,,17.49,,Huang+2021,DESI-348.1504-03.4410,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:37pm
AGEL125626+044013A,194.1102,4.6703,,0.229,,16.62,,Huang+2021,DESI-194.1102+04.6703,0,,,,,,,,AGEL125626+044013A,0.2309968,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL092548+371808A,141.4491,37.3023,,0.553,,20.2,,Huang+2021,DESI-141.4491+37.3023,0,,,,,,,,AGEL092548+371808A,0.596311,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL091339+181926A,138.412,18.3239,,0.555,,21.03,,Canameras2020,PS1J0913+1819,0,,,,,,,,AGEL091339+181926A,0.5550715,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL010158-491738A,15.491818,-49.293942,0.77,,,21.86,22.37,Jacobs+2019_DES,DESJ0101-4917,290048397,,,,,,AGEL010158-491738A,2.6323,,,AGEL010158-491738A,"M/2018B/09,GLAZEBROOK_16773_HST",,,,,Tania Barone,4/2/2022 3:18pm
AGEL234930-511339A,357.37523,-51.22751,0.48,,,19.33,20.96,Jacobs+2019_DES,DESJ2349-5113,214800683,Diehl+2017,J2349-5113,,,,AGEL234930-511339A,1.3931,,,AGEL234930-511339A,GLAZEBROOK_16773_HST,,,,,Tania Barone,3/6/2022 7:43pm
AGEL033950-000808A,54.9589,-0.1356,,0.268,,20.72,,Huang+2021,DESI-054.9589-00.1356,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:53pm
AGEL113812+144711A,174.5481,14.7863,,0.546,,19.87,,Huang+2021,DESI-174.5481+14.7863,0,,,,,,,,AGEL113812+144711A,0.5643443,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL162300+213721A,245.7513938,21.62261004,,,,20.07,21.59,Jacobs+2019_DECaLS,DCLS1623+2137,25147703,Huang+2021,DESI-245.7514+21.6226,,,"AGEL162300+213721A,AGEL162300+213721B",AGEL162300+213721A,1.727,,,AGEL162300+213721A,HUANG_15867_HST,,,,Screenshot from 2022-05-10 20-53-23.png (https://dl.airtable.com/.attachments/852064e99ee63b929ad4820c61958d95/35ada1ca/Screenshotfrom2022-05-1020-53-23.png),Tania Barone,4/2/2022 3:18pm
AGEL220629+005729A,331.6225,0.958,0.76,0.704,,,,Gavazzi2014_SL2S,220629+005728,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:33pm
AGEL160335+055228A,240.8979,5.8745,,0.675,,23.49,,Huang+2021,DESI-240.8979+05.8745,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:27pm
AGEL012429-291856A,21.11886,-29.31561,0.52,,,21.12,22.65,Jacobs+2019_DES,DESJ0124-2918,222540376,,,,,,AGEL012429-291856A,1.6057,,,AGEL012429-291856A,GLAZEBROOK_16773_HST,,,,,Tania Barone,6/6/2022 10:23am
AGEL232730-102911A,351.876,-10.4864,,0.388,,19.15,,Huang+2021,DESI-351.8760-10.4864,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:38pm
AGEL233837+254631A,354.654,25.7753,,0.38,,20.46,,Canameras2020,PS1J2338+2546,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:39pm
AGEL164331+392744A,250.879,39.4622,,0.513,,21.37,,Canameras2020,PS1J1643+3927,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:27pm
AGEL000719+013206A,1.828,1.5349,,0.322,,19.32,,Huang+2021,DESI-001.8280+01.5349,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:25pm
AGEL150137+520830A,225.405,52.1417,,0.553,,21.73,,Huang+2021,DESI-225.4050+52.1417,0,,,,,,AGEL150137+520830A,2.418,,,AGEL150137+520830A,HUANG_15867_HST,,,,,Tania Barone,23/3/2022 11:22am
AGEL153018+445424A,232.575,44.9067,,0.161,,18.65,,Canameras2020,PS1J1530+4454,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:26pm
AGEL214509+195305A,326.2881,19.8848,,0.689,,21.24,,Huang+2021,DESI-326.2881+19.8848,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:32pm
AGEL111357+010405A,168.487,1.06806,,0.64,,21.81,,Canameras2020,PS1J1113+0104,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:15pm
AGEL002609-050602A,6.5376,-5.1005,,0.369,,18.9,,Huang+2021,DESI-006.5376-05.1005,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:27pm
AGEL022003+024404A,35.0142,2.7345,,0.455,,18.37,,Huang+2021,DESI-035.0142+02.7345,0,,,,,,,,AGEL022003+024404A,0.3233852,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL011127+105904A,17.864,10.9845,,0.278,,18.47,,Huang+2021,DESI-017.8640+10.9845,0,Canameras2020,PS1J0111+1059,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:32pm
AGEL072842+381213A,112.1758,38.2037,,0.596,,21.21,,Huang+2021,DESI-112.1758+38.2037,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:06pm
AGEL021925+053838A,34.8554,5.6438,,0.679,,21.31,,Huang+2021,DESI-034.8554+05.6438,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:42pm
AGEL231112-454658A,347.79872,-45.78281,0.59,,,20.57,22.24,Jacobs+2019_DES,DESJ2311-4546,124310010,,,,,,AGEL231112-454658A,1.5547,,,,,,,,"DESJ2311-4546_lens.png (https://dl.airtable.com/.attachments/5dc9f5f18e23e883bded6a2d0f1771ca/c136adb0/DESJ2311-4546_lens.png),DESJ2311-4546_OIII5006_4959_Hbeta.png (https://dl.airtable.com/.attachments/8682096bd228602563ee42f9738bcd4a/97dccf84/DESJ2311-4546_OIII5006_4959_Hbeta.png)",Tania Barone,13/1/2022 5:29pm
AGEL154556+100145A,236.4854,10.0292,,0.546,,19.46,,Huang+2021,DESI-236.4854+10.0292,0,,,,,,,,AGEL154556+100145A,0.6638322,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL034131-513045A,55.37833,-51.51241,0.42,,,20.25,20.91,Jacobs+2019_DES,DESJ0341-5130,374811766,Diehl+2017,J0341-5130,,,,AGEL034131-513045A,2.0353,,,AGEL034131-513045A,GLAZEBROOK_16773_HST,,,,,Tania Barone,20/11/2022 4:58pm
AGEL172703+110008A,261.7636919,11.00210541,,,,18.38,20.29,Jacobs+2019_DECaLS,DCLS1727+1100,27983971,,,,,AGEL172703+110008A,AGEL172703+110008A,1.336,,,AGEL172703+110008A,GLAZEBROOK_16773_HST,,,,,Tania Barone,26/4/2022 11:38am
AGEL143347+184235A,218.4468,18.7098,,0.282,,17.61,,Huang+2021,DESI-218.4468+18.7098,0,,,,,,,,AGEL143347+184235A,0.312696,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL004428-094916A,11.1176,-9.8211,,0.549,,20.42,,Huang+2021,DESI-011.1176-09.8211,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:29pm
AGEL235221+180620A,358.0861,18.1055,,0.276,,19.34,,Huang+2021,DESI-358.0861+18.1055,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:40pm
AGEL153755+144324A,234.4783,14.7232,,0.26,,20.94,,Huang+2021,DESI-234.4783+14.7232,0,,,,,,AGEL153755+144324A,2.478,,,AGEL153755+144324A,HUANG_15867_HST,,,,,Tania Barone,14/3/2022 9:13am
AGEL111155+432911A,167.979,43.4864,,0.637,,21.75,,Canameras2020,PS1J1111+4329,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:15pm
AGEL112335+123333A,170.8944,12.5591,,0.531,,20.71,,Huang+2021,DESI-170.8944+12.5591,0,,,,,,,,AGEL112335+123333A,0.6644349,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL144414-014830A,221.058,-1.80833,,0.633,,21.54,,Canameras2020,PS1J1444-0148,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:24pm
AGEL012207-044842A,20.5273,-4.8117,,0.398,,19.36,,Huang+2020,DESI-020.5273-04.8117,0,,,,,,,,AGEL012207-044842A,0.397787,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL154258+145234A,235.74,14.8762,,0.453,,19.54,,Huang+2021,DESI-235.7400+14.8762,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:26pm
AGEL014359+125613A,25.9952,12.937,,0.511,,18.86,,Huang+2021,DESI-025.9952+12.9370,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:36pm
AGEL115605+191113A,179.0228,19.1869,,0.569,,19.36,,Huang+2021,DESI-179.0228+19.1869,0,,,,,,,,AGEL115605+191113A,0.5454256,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL111418+084548A,168.5731,8.7634,,0.712,,20.9,,Huang+2021,DESI-168.5731+08.7634,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:15pm
AGEL154623+235418A,236.5969,23.9051,,0.305,,17.48,,Huang+2021,DESI-236.5969+23.9051,0,,,,,,,,AGEL154623+235418A,0.2853302,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL133535+401953A,203.8962,40.3315,,0.309,,19.75,,Huang+2021,DESI-203.8962+40.3315,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:20pm
AGEL140546+524311A,211.4426,52.7198,0.55,0.526,,,,Gavazzi2014_SL2S,140546+524311,0,,,,,,,,AGEL140546+524311A,0.5257838,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL094644+192710A,146.684,19.4528,,0.496,,20.35,,Huang+2021,DESI-146.6840+19.4528,0,,,,,,,,AGEL094644+192710A,0.5988528,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL134424-013626A,206.0993,-1.6071,,0.468,,19.23,,Huang+2021,DESI-206.0993-01.6071,0,,,,,,,,AGEL134424-013626A,0.4870327,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL083125+412109A,127.854,41.3525,,0.487,,21.22,,Canameras2020,PS1J0831+4121,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:07pm
AGEL225830-584128A,344.6262,-58.691,,0.398,,17.92,,Huang+2021,DESI-344.6262-58.6910,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:36pm
AGEL081119+003527A,122.828,0.5908,,0.38,,17.89,,Huang+2021,DESI-122.8280+00.5908,0,,,,,,,,AGEL081119+003527A,0.3798634,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL095250+104301A,148.2095,10.7169,,0.375,,19.65,,Huang+2021,DESI-148.2095+10.7169,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:11pm
AGEL225143-032449A,342.929,-3.4136,,0.258,,16.66,,Huang+2021,DESI-342.9290-03.4136,0,,,,,,,,AGEL225143-032449A,0.2458944,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL111504+164539A,168.7683,16.7607,,0.62,,19.39,,Huang+2021,DESI-168.7683+16.7607,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:15pm
AGEL031436-212759A,48.6484,-21.4665,,0.569,,18.53,,Huang+2021,DESI-048.6484-21.4665,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:50pm
AGEL151518+631621A,228.8268,63.2724,,0.634,,19.59,,Huang+2021,DESI-228.8268+63.2724,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:25pm
AGEL121557+184724A,183.987,18.79,,0.357,,19.79,,Canameras2020,PS1J1215+1847,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:18pm
AGEL033203-132510A,53.010641,-13.419497,0.64,,,22.39,22.35,Jacobs+2019_DES,DESJ0332-1325,365125003,Jacobs+2019_DECaLS,DCLS0332-1325,,,,"AGEL033203-132510A,AGEL033203-132510B","2.334, n/a",,,AGEL033203-132510A,GLAZEBROOK_16773_HST,,,,,Nandini Sahu,7/10/2022 11:41am
AGEL091935+303156A,139.896,30.5323,,0.641,,18.07,,Huang+2021,DESI-139.8960+30.5323,0,,,,,AGEL091935+303156A,AGEL091935+303156A,1.811,AGEL091935+303156A,0.4273407,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL104619+461349A,161.5784,46.2302,,0.576,,20.96,,Huang+2021,DESI-161.5784+46.2302,0,,,,,,,,AGEL104619+461349A,0.6623061,,,,,,,Tania Barone,25/1/2022 6:39pm
