objname,RAJ2000,DECJ2000,z_phot_DE,z_spec_DE,z_spec_SRC,r_mag_DE,g_mag_SRC,catalogue,catalogue_objname,catalogue_objid,duplicated,duplicated_objname,,,link to AGEL Measured Redshifts,link to Spectral Observations Tally,z_spec_SRC_Spectral_Observations_Tally,link to SDSS Spectra,z_spec from SDSS (deflector),Photometry Observations Tally,Proposal_ID (from Photometry Observations Tally),AGEL Measured Redshifts,Start date,End date,2d/1d spectra,Last Modified By,Last Modified
AGEL010238+015857A,15.65959,1.98243,0.81,0.86,1.816,22.35,21.95,Jacobs+2019_DES,DESJ0102+0158,289961235,Jacobs+2019_DECaLS,DCLS0102+0158,,,AGEL010238+015857A,AGEL010238+015857A,1.816,AGEL010238+015857A,0.8668993,AGEL010238+015857A,GLAZEBROOK_16773_HST,,,,"Screenshot from 2022-05-10 12-56-04.png (https://dl.airtable.com/.attachments/97d83e2e5d90ac672db4cd9a0951a38c/be499698/Screenshotfrom2022-05-1012-56-04.png),Screenshot from 2022-05-10 12-55-54.png (https://dl.airtable.com/.attachments/50cea563f1f40129b6a55336eaef3152/22da39d2/Screenshotfrom2022-05-1012-55-54.png)",Tania Barone,5/8/2022 1:02pm
AGEL022709-065445A,36.7866,-6.9125,0.69,0.56,1.644,,,Gavazzi2014_SL2S,022708-065445,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:44pm
AGEL140454+520024A,211.2269,52.0068,0.49,0.456,1.59,,,Gavazzi2014_SL2S,140454+520024,0,,,,,,,,AGEL140454+520024A,0.455971,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL084847-035104A,132.1968,-3.8511,0.89,0.682,1.55,,,Gavazzi2014_SL2S,084847-035103,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:08pm
AGEL084910-041227A,132.2896,-4.2074,0.8,0.722,1.54,,,Gavazzi2014_SL2S,084909-041226,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:08pm
AGEL025220-473238A,43.082837,-47.543816,0.49,0.494,1.5,20.28,23.64,Jacobs+2019_DES,DESJ0252-4732,325184579,Diehl+2017,J0252-4732,,,AGEL025220-473238A,   AGEL025220-473238A,1.5,,,AGEL025220-473238A,GLAZEBROOK_16773_HST,,,,,Nandini Sahu,7/10/2022 11:58am
AGEL213758-012924A,324.49176,-1.48996,0.41,0.27,1.49,19.31,21.93,Jacobs+2019_DES,DESJ2137-0129,208765710,Jacobs+2019_DECaLS,DCLS2137-0129,,,AGEL213758-012924A,AGEL213758-012924A,1.458,,,AGEL213758-012924A,GLAZEBROOK_16773_HST,,,,"Screenshot from 2022-05-10 12-10-24.png (https://dl.airtable.com/.attachments/4d679183e870b50cd73fa74c2946accb/bf71531b/Screenshotfrom2022-05-1012-10-24.png),Screenshot from 2022-05-10 12-11-28.png (https://dl.airtable.com/.attachments/cc9db6c11cf8be21eadab542dc68ae68/5e5ac3e7/Screenshotfrom2022-05-1012-11-28.png)",Nandini Sahu,7/10/2022 11:48am
AGEL140650+522619A,211.7097,52.4386,0.86,0.716,1.47,,,Gavazzi2014_SL2S,140650+522619,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:22pm
AGEL002700-041324A,6.75025,-4.22321,0.57,0.495,1.46,19.81,22.58,Jacobs+2019_DES,DESJ0027-0413,202591480,Jacobs+2019_DECaLS,DCLS0027-0413,,,AGEL002700-041324A,AGEL002700-041324A,1.46,AGEL002700-041324A,0.4950021,,,,,,Screenshot from 2022-05-10 12-31-43.png (https://dl.airtable.com/.attachments/7622054a5edb1c9cc6afa1d2a6a7f3e0/f9d984ee/Screenshotfrom2022-05-1012-31-43.png),Tania Barone,25/1/2022 6:39pm
AGEL022346-053418A,35.9423,-5.5718,0.55,0.499,1.44,,,Gavazzi2014_SL2S,022346-053418,0,,,,,,,,AGEL022346-053418A,0.499128,,,,,,,Tania Barone,25/1/2022 6:39pm
